State,District,Soil_Type,Season,Water_Availability,Previous_Crop,Land_Area_Acres,Temperature_C,Rainfall_mm,Recommended_Crop,Fertilizer_N,Fertilizer_P,Fertilizer_K
Odisha,Mayurbhanj,Red,Kharif,High,Groundnut,2,27.0,967,Rice,Low,High,Medium
Andhra Pradesh,West Godavari,Red,Rabi,High,Cotton,4,30.2,149,Sunflower,Medium,Medium,High
Tamil Nadu,Madurai,Clay,Kharif,Medium,Bajra,3,27.6,304,Turmeric,High,High,Low
Maharashtra,Wardha,Sandy,Kharif,Low,Sugarcane,4,30.4,1075,Cotton,High,Medium,High
Tamil Nadu,Coimbatore,Sandy,Rabi,High,Soybean,2,22.0,167,Wheat,Medium,Medium,Low
Odisha,Rayagada,Sandy,Kharif,High,Rice,4,24.4,1431,Rice,Low,High,Medium
Odisha,Boudh,Clay,Kharif,Medium,Sunflower,6,27.8,790,Rice,Low,High,Medium
Tamil Nadu,Erode,Black,Summer,Medium,Groundnut,4,29.4,67,Onion,Medium,High,Medium
Telangana,Siddipet,Clay,Kharif,Low,Chilli,2,29.1,809,Cotton,High,Medium,Medium
Karnataka,Mandya,Clay,Summer,High,Maize,3,26.6,139,Rice,Low,High,High
Maharashtra,Ahmednagar,Black,Kharif,Medium,Ragi,7,24.9,352,Cotton,High,Medium,High
Karnataka,Mysore,Sandy,Rabi,High,Cotton,5,21.4,137,Wheat,Medium,Medium,Low
Odisha,Malkangiri,Red,Kharif,High,Groundnut,2,27.9,1191,Rice,Low,High,Low
Telangana,Nalgonda,Red,Summer,Medium,Rice,4,31.7,57,Onion,Medium,High,Low
Telangana,Sangareddy,Red,Kharif,Medium,Soybean,3,29.0,754,Cotton,High,Medium,High
Andhra Pradesh,West Godavari,Black,Rabi,High,Rice,6,23.9,186,Wheat,Medium,Medium,Low
Odisha,Puri,Black,Kharif,High,Groundnut,4,28.7,863,Rice,Low,High,Low
Telangana,Medchal Malkajgiri,Black,Kharif,High,Chilli,4,27.2,445,Cotton,High,Medium,High
Andhra Pradesh,Anantapur,Loam,Rabi,High,Rice,3,26.7,55,Rice,Low,High,High
Tamil Nadu,Kanyakumari,Clay,Rabi,Low,None,1,23.0,437,Wheat,Medium,Medium,Low
Telangana,Jangaon,Loam,Kharif,High,Groundnut,1,24.5,850,Rice,Low,High,Medium
Telangana,Karimnagar,Loam,Kharif,Medium,Chilli,3,25.7,1107,Rice,Low,High,Medium
Telangana,Jagtial,Loam,Rabi,Medium,Rice,1,27.4,40,Wheat,Medium,Low,Low
Andhra Pradesh,Vizianagaram,Clay,Kharif,Medium,Maize,3,27.5,699,Rice,Low,High,Medium
Telangana,Nirmal,Loam,Rabi,Medium,Maize,19,27.1,61,Wheat,Medium,Medium,Low
Odisha,Sundargarh,Clay,Kharif,High,None,3,25.5,1411,Rice,Low,Medium,Medium
Telangana,Warangal Urban,Sandy,Kharif,High,Chilli,2,26.4,841,Rice,Low,High,Medium
Telangana,Suryapet,Loam,Kharif,Low,Sunflower,3,26.6,615,Cotton,High,Medium,High
Maharashtra,Osmanabad,Sandy,Kharif,Medium,Cotton,5,26.4,840,Cotton,High,Medium,High
Tamil Nadu,Perambalur,Red,Kharif,Medium,Groundnut,2,27.8,477,Chilli,Medium,Medium,Medium
Karnataka,Belgaum,Loam,Kharif,Low,Sugarcane,1,22.6,1319,Rice,Low,High,Medium
Telangana,Jagtial,Sandy,Rabi,High,Soybean,3,21.3,59,Sunflower,Medium,Medium,Medium
Tamil Nadu,Karur,Red,Summer,Medium,Groundnut,4,30.0,100,Onion,Medium,High,Medium
Maharashtra,Jalgaon,Black,Kharif,High,None,1,24.8,783,Cotton,High,Medium,High
Karnataka,Bellary,Red,Rabi,Medium,Groundnut,2,26.4,56,Ragi,Low,Medium,Low
Maharashtra,Akola,Red,Kharif,High,Groundnut,23,25.4,771,Sugarcane,High,High,High
Karnataka,Haveri,Sandy,Kharif,Low,Bajra,1,22.8,498,Groundnut,Low,Medium,Medium
Tamil Nadu,Cuddalore,Black,Kharif,Medium,Sugarcane,3,28.5,642,Cotton,High,Medium,High
Telangana,Karimnagar,Black,Kharif,Medium,None,1,29.2,711,Cotton,High,Medium,High
Tamil Nadu,Salem,Red,Kharif,Medium,Maize,0,22.2,525,Chilli,Medium,High,Low
Andhra Pradesh,Srikakulam,Black,Rabi,High,Jowar,5,24.0,187,Wheat,Medium,Medium,Low
Telangana,Hyderabad,Black,Kharif,High,Jowar,1,25.6,500,Cotton,High,Medium,High
Telangana,Narayanpet,Loam,Kharif,Low,None,1,33.2,641,Cotton,High,Medium,High
Maharashtra,Dhule,Red,Kharif,Low,Sunflower,3,27.6,378,Cotton,High,Medium,High
Maharashtra,Jalgaon,Red,Rabi,High,Rice,3,21.6,34,Onion,Medium,High,Medium
Maharashtra,Aurangabad,Clay,Kharif,Medium,Bajra,3,25.0,341,Cotton,High,Low,High
Andhra Pradesh,Visakhapatnam,Sandy,Kharif,Low,Cotton,2,30.0,593,Cotton,High,High,High
Maharashtra,Ahmednagar,Sandy,Kharif,Low,Soybean,6,27.0,350,Bajra,Medium,Medium,Low
Karnataka,Udupi,Clay,Rabi,Low,Cotton,2,26.2,199,Wheat,High,Medium,Low
Odisha,Mayurbhanj,Sandy,Summer,Medium,None,6,30.8,38,Maize,High,Medium,Medium
Maharashtra,Dhule,Clay,Kharif,Medium,Chilli,5,28.8,503,Cotton,High,Medium,High
Telangana,Rangareddy,Sandy,Rabi,Low,None,4,22.8,39,Sunflower,Medium,Low,Medium
Odisha,Sambalpur,Loam,Kharif,Low,Rice,1,31.2,928,Maize,High,Medium,High
Odisha,Dhenkanal,Red,Summer,High,Jowar,1,30.9,89,Rice,Medium,High,Medium
Tamil Nadu,Coimbatore,Black,Kharif,Low,Maize,0,28.9,201,Cotton,High,Medium,High
Odisha,Bhadrak,Black,Rabi,Medium,Turmeric,2,22.9,202,Wheat,Medium,Medium,Low
Odisha,Keonjhar,Clay,Rabi,Medium,None,2,22.6,51,Wheat,Medium,Medium,Low
Telangana,Warangal Rural,Clay,Kharif,Low,Sugarcane,1,25.4,617,Cotton,High,Medium,High
Andhra Pradesh,Vizianagaram,Clay,Kharif,High,Cotton,2,24.7,797,Rice,Low,High,Medium
Andhra Pradesh,Srikakulam,Loam,Kharif,High,None,1,26.2,827,Rice,Low,High,Low
Telangana,Warangal Rural,Clay,Rabi,Medium,Maize,5,23.6,69,Wheat,Medium,Medium,Low
Telangana,Narayanpet,Sandy,Rabi,Medium,Maize,0,25.9,32,Sunflower,Medium,Medium,Medium
Maharashtra,Nanded,Clay,Summer,High,Soybean,3,37.1,49,Banana,High,High,High
Karnataka,Bangalore Urban,Black,Kharif,Medium,Sunflower,1,22.3,406,Cotton,High,Low,High
Telangana,Vikarabad,Sandy,Summer,High,Sunflower,5,38.0,52,Rice,Low,High,Medium
Odisha,Boudh,Red,Rabi,High,Jowar,0,21.5,66,Ragi,Low,High,Low
Telangana,Khammam,Black,Kharif,Medium,Chilli,1,27.7,815,Cotton,High,High,High
Karnataka,Chitradurga,Black,Rabi,Medium,Cotton,0,23.0,93,Wheat,Medium,Low,Low
Odisha,Jajpur,Loam,Rabi,Medium,Maize,2,25.0,155,Wheat,Medium,Low,Low
Odisha,Malkangiri,Sandy,Kharif,High,Jowar,2,22.2,891,Rice,Low,High,Medium
Tamil Nadu,Madurai,Black,Kharif,Medium,Groundnut,1,24.5,366,Cotton,High,Medium,High
Tamil Nadu,Coimbatore,Clay,Kharif,High,None,0,25.0,240,Rice,Low,High,Medium
Odisha,Mayurbhanj,Black,Kharif,Medium,Groundnut,1,24.2,1431,Cotton,High,Medium,High
Maharashtra,Pune,Red,Kharif,High,Jowar,2,21.4,524,Rice,Low,High,Medium
Karnataka,Mandya,Red,Kharif,Low,Rice,3,21.1,441,Ragi,Low,Medium,Medium
Tamil Nadu,Theni,Sandy,Kharif,Low,None,1,26.9,409,Groundnut,Low,Medium,Medium
Tamil Nadu,Chennai,Clay,Kharif,High,Jowar,5,32.0,162,Banana,Medium,High,High
Maharashtra,Amravati,Clay,Kharif,Low,Cotton,2,24.1,902,Cotton,High,Medium,High
Karnataka,Bidar,Red,Kharif,Low,Sugarcane,1,24.3,675,Cotton,High,Medium,High
Odisha,Balasore,Black,Summer,Medium,Jowar,1,29.5,118,Onion,Medium,High,Medium
Maharashtra,Beed,Black,Kharif,Low,Groundnut,2,28.4,777,Cotton,High,Medium,High
Tamil Nadu,Namakkal,Black,Kharif,Medium,Maize,2,26.8,274,Cotton,Medium,High,High
Telangana,Karimnagar,Red,Rabi,Low,Groundnut,0,23.6,32,Sunflower,Low,Medium,Medium
Tamil Nadu,Tiruchirappalli,Black,Kharif,Medium,Ragi,2,30.4,407,Cotton,High,Medium,High
Telangana,Adilabad,Sandy,Kharif,High,Bajra,5,26.4,770,Rice,Low,High,Medium
Karnataka,Hassan,Loam,Kharif,High,Jowar,1,21.3,905,Rice,Low,High,Medium
Telangana,Warangal Urban,Sandy,Rabi,High,Groundnut,3,23.7,70,Sunflower,Medium,Medium,Medium
Maharashtra,Pune,Loam,Kharif,High,Rice,3,22.1,323,Rice,Low,High,Medium
Andhra Pradesh,Guntur,Sandy,Rabi,Medium,Cotton,2,29.7,206,Sunflower,Medium,Low,Medium
Maharashtra,Nagpur,Loam,Kharif,Low,Groundnut,7,27.8,930,Cotton,High,Medium,High
Telangana,Mahabubnagar,Red,Rabi,Low,Cotton,2,25.6,37,Sunflower,High,Medium,Medium
Tamil Nadu,Chennai,Sandy,Summer,Medium,Rice,1,28.2,121,Onion,Medium,High,High
Telangana,Siddipet,Black,Kharif,Low,Onion,2,27.5,651,Cotton,High,High,High
Karnataka,Chitradurga,Black,Summer,High,Ragi,7,28.3,103,Sugarcane,High,High,High
Maharashtra,Yavatmal,Red,Kharif,Medium,Groundnut,1,29.8,847,Cotton,High,High,High
Odisha,Cuttack,Loam,Summer,Low,Rice,2,30.7,100,Maize,High,Medium,Medium
Maharashtra,Ratnagiri,Red,Kharif,Medium,Onion,1,27.3,2200,Cotton,High,Low,High
Maharashtra,Wardha,Black,Kharif,Medium,None,12,26.8,827,Cotton,High,Medium,High
Odisha,Cuttack,Clay,Rabi,Low,None,2,21.7,193,Wheat,Medium,Low,Low
Tamil Nadu,Erode,Clay,Kharif,High,Cotton,2,28.6,409,Banana,High,High,High
Andhra Pradesh,Srikakulam,Loam,Kharif,Medium,Ragi,1,30.3,521,Rice,Low,High,Medium
Andhra Pradesh,West Godavari,Red,Rabi,High,Soybean,6,26.8,194,Ragi,Medium,Medium,Low
Tamil Nadu,Tiruchirappalli,Clay,Rabi,High,None,3,20.6,212,Wheat,Medium,Medium,Low
Andhra Pradesh,Eluru,Sandy,Kharif,Medium,Soybean,3,31.0,720,Groundnut,Low,Medium,Medium
Karnataka,Mysore,Loam,Kharif,Medium,Ragi,1,25.6,520,Maize,High,Medium,Medium
Maharashtra,Yavatmal,Black,Kharif,Medium,Jowar,4,25.8,1083,Cotton,Medium,Medium,High
Telangana,Jangaon,Clay,Kharif,Low,None,1,29.5,1022,Turmeric,High,High,Low
Karnataka,Udupi,Black,Kharif,High,Rice,0,26.7,2200,Sugarcane,High,High,High
Odisha,Jajpur,Red,Rabi,High,Groundnut,2,25.2,156,Ragi,Low,Medium,Low
Maharashtra,Dhule,Sandy,Kharif,Low,Jowar,4,29.0,676,Cotton,High,Medium,Medium
Maharashtra,Solapur,Clay,Kharif,Medium,Ragi,5,28.7,676,Cotton,High,Medium,Medium
Telangana,Jangaon,Loam,Rabi,Low,Groundnut,1,25.3,36,Sunflower,Medium,Medium,Medium
Tamil Nadu,Thanjavur,Red,Kharif,Low,Chilli,2,28.5,386,Groundnut,Low,Medium,Medium
Andhra Pradesh,Nellore,Sandy,Kharif,Low,Rice,3,31.2,1029,Groundnut,Low,Medium,Medium
Andhra Pradesh,Anantapur,Sandy,Kharif,Medium,Rice,2,23.9,301,Groundnut,Low,Medium,Medium
Andhra Pradesh,Anakapalli,Loam,Rabi,Low,Rice,1,24.8,194,Wheat,Medium,Medium,Low
Telangana,Kamareddy,Loam,Kharif,High,Sugarcane,5,28.5,999,Rice,Low,High,Medium
Odisha,Kendrapara,Loam,Rabi,Medium,Soybean,3,23.0,134,Wheat,Medium,Medium,Low
Karnataka,Gadag,Red,Rabi,Medium,Soybean,3,22.2,42,Ragi,Low,Medium,Low
Telangana,Warangal Urban,Sandy,Rabi,Medium,Rice,3,22.3,79,Sunflower,Medium,Medium,Medium
Tamil Nadu,Tirunelveli,Red,Rabi,High,Chilli,2,26.0,464,Groundnut,Low,Medium,Medium
Odisha,Kendrapara,Sandy,Rabi,High,Rice,3,23.1,175,Wheat,High,Medium,Low
Odisha,Mayurbhanj,Sandy,Rabi,Medium,None,4,21.7,86,Sunflower,Medium,Medium,Medium
Telangana,Medchal Malkajgiri,Red,Kharif,Low,Cotton,1,27.8,638,Cotton,High,Medium,High
Telangana,Mulugu,Loam,Rabi,Low,None,1,24.9,89,Wheat,Medium,Medium,Medium
Odisha,Puri,Sandy,Kharif,Low,Soybean,3,29.4,1126,Groundnut,Low,Medium,Low
Tamil Nadu,Erode,Clay,Kharif,Medium,Rice,1,29.0,426,Turmeric,High,High,Low
Andhra Pradesh,Eluru,Sandy,Kharif,High,Soybean,0,28.8,569,Rice,Low,High,Low
Odisha,Khordha,Clay,Summer,Low,None,2,27.7,92,Maize,High,Medium,Medium
Karnataka,Bellary,Red,Summer,Low,None,3,36.5,40,Onion,Medium,High,Medium
Telangana,Warangal Rural,Loam,Kharif,High,Chilli,3,26.7,805,Rice,Low,High,Medium
Odisha,Angul,Black,Kharif,High,Rice,1,28.5,510,Cotton,High,High,Medium
Andhra Pradesh,Nellore,Black,Kharif,Low,Soybean,0,30.6,350,Cotton,High,Medium,Medium
Telangana,Suryapet,Red,Kharif,Low,Jowar,1,27.8,514,Cotton,High,Low,High
Maharashtra,Satara,Sandy,Summer,Medium,Groundnut,2,29.0,43,Onion,Low,High,Low
Maharashtra,Ahmednagar,Loam,Kharif,High,Ragi,7,27.4,254,Rice,Low,High,Medium
Karnataka,Davangere,Sandy,Rabi,Low,Sugarcane,4,18.5,78,Sunflower,Low,Medium,Medium
Andhra Pradesh,Kakinada,Red,Kharif,High,None,4,25.3,613,Rice,Low,High,Medium
Andhra Pradesh,YSR Kadapa,Loam,Summer,Low,None,2,30.2,97,Banana,High,High,High
Odisha,Bhadrak,Red,Rabi,Medium,Chilli,3,21.8,153,Ragi,Low,Low,Low
Tamil Nadu,Namakkal,Sandy,Summer,Medium,Soybean,2,29.0,194,Onion,Medium,High,Medium
Tamil Nadu,Thoothukudi,Sandy,Summer,High,Cotton,0,31.5,110,Sugarcane,High,High,High
Maharashtra,Osmanabad,Red,Kharif,High,None,4,27.8,608,Cotton,High,Medium,High
Karnataka,Chitradurga,Loam,Kharif,Low,Maize,3,26.6,474,Cotton,High,Medium,High
Maharashtra,Solapur,Black,Kharif,Medium,Sugarcane,11,27.7,607,Cotton,Medium,Medium,High
Telangana,Jangaon,Clay,Rabi,Medium,None,6,23.1,68,Wheat,Medium,Medium,Low
Odisha,Sambalpur,Loam,Kharif,High,Cotton,3,26.0,1346,Rice,Medium,High,Low
Karnataka,Chamarajanagar,Red,Rabi,Medium,Rice,5,19.2,88,Ragi,Low,Medium,Medium
Tamil Nadu,Tiruvarur,Red,Summer,Low,Cotton,0,32.0,230,Onion,Medium,High,Medium
Tamil Nadu,Tiruchirappalli,Red,Kharif,High,Bajra,1,31.0,430,Rice,Low,High,Low
Odisha,Boudh,Clay,Kharif,Medium,Chilli,1,29.4,866,Rice,Low,High,Low
Andhra Pradesh,Kurnool,Loam,Summer,Low,Maize,1,34.8,63,Banana,High,High,High
Andhra Pradesh,Visakhapatnam,Black,Kharif,Low,Maize,2,26.5,519,Cotton,High,Medium,High
Maharashtra,Ahmednagar,Black,Rabi,High,Sugarcane,3,23.1,31,Onion,Medium,High,Medium
Telangana,Mahabubnagar,Loam,Rabi,High,Jowar,2,21.7,54,Wheat,Medium,Medium,Low
Maharashtra,Amravati,Loam,Kharif,Low,Groundnut,14,26.8,522,Cotton,High,Low,High
Karnataka,Gadag,Clay,Kharif,Low,Maize,4,27.4,237,Ragi,Low,Medium,Low
Maharashtra,Buldhana,Clay,Kharif,Low,Bajra,1,29.7,548,Cotton,High,Medium,High
Tamil Nadu,Salem,Loam,Kharif,Low,Chilli,2,24.2,570,Cotton,Medium,High,High
Karnataka,Bellary,Loam,Summer,High,None,1,38.8,40,Rice,Low,High,Medium
Telangana,Jangaon,Loam,Kharif,Low,Groundnut,3,29.3,808,Cotton,High,Medium,High
Andhra Pradesh,East Godavari,Black,Kharif,Low,None,6,24.6,595,Cotton,High,Medium,High
Karnataka,Hassan,Red,Kharif,High,None,1,23.7,1038,Sugarcane,High,Medium,High
Karnataka,Chamarajanagar,Red,Rabi,Medium,None,10,22.7,128,Ragi,Low,Medium,Low
Maharashtra,Pune,Clay,Rabi,High,Soybean,0,20.7,53,Wheat,Medium,Low,Low
Tamil Nadu,Tiruvarur,Loam,Kharif,High,None,3,30.9,202,Banana,High,High,High
Telangana,Kamareddy,Black,Kharif,High,Chilli,5,27.6,748,Cotton,High,Medium,High
Tamil Nadu,Nagapattinam,Clay,Rabi,Medium,Maize,1,23.8,357,Wheat,Medium,Medium,Medium
Maharashtra,Wardha,Sandy,Kharif,Medium,Rice,5,28.8,895,Cotton,Medium,Medium,High
Andhra Pradesh,Guntur,Clay,Kharif,High,Jowar,2,29.1,501,Rice,Low,Medium,Medium
Maharashtra,Kolhapur,Sandy,Summer,Low,None,3,31.0,62,Onion,Medium,High,Medium
Karnataka,Chitradurga,Black,Rabi,Medium,Onion,6,22.7,63,Wheat,Medium,Medium,Low
Telangana,Khammam,Black,Rabi,High,Cotton,13,23.5,96,Jowar,Low,Medium,Medium
Andhra Pradesh,West Godavari,Sandy,Kharif,Medium,Jowar,8,26.3,541,Cotton,High,Medium,High
Karnataka,Mandya,Loam,Rabi,Medium,Rice,2,16.9,121,Wheat,Medium,Medium,Low
Maharashtra,Osmanabad,Clay,Kharif,Low,Groundnut,4,25.2,639,Cotton,High,Medium,High
Telangana,Sangareddy,Sandy,Kharif,Low,Rice,2,27.4,478,Cotton,High,Medium,High
Karnataka,Mandya,Loam,Kharif,Low,Rice,7,23.7,577,Groundnut,Low,Low,Low
Tamil Nadu,Namakkal,Red,Kharif,Low,Rice,1,27.4,414,Cotton,High,Medium,High
Tamil Nadu,Salem,Red,Kharif,High,Bajra,2,29.2,294,Rice,Low,High,Medium
Telangana,Mancherial,Clay,Summer,High,Groundnut,2,35.2,80,Rice,Low,High,Medium
Karnataka,Davangere,Clay,Summer,Low,Groundnut,0,24.3,98,Maize,High,Medium,Medium
Andhra Pradesh,Kakinada,Loam,Kharif,Medium,Bajra,0,32.0,421,Cotton,High,Medium,High
Maharashtra,Kolhapur,Sandy,Kharif,Medium,Groundnut,2,24.2,758,Cotton,High,Medium,High
Odisha,Balasore,Loam,Rabi,High,Rice,6,25.1,158,Rice,Low,High,High
Andhra Pradesh,YSR Kadapa,Black,Rabi,Medium,Bajra,3,25.6,89,Onion,Medium,Medium,Medium
Tamil Nadu,Salem,Loam,Kharif,Medium,Soybean,0,28.7,440,Maize,High,Medium,Medium
Andhra Pradesh,West Godavari,Sandy,Kharif,Medium,Groundnut,2,29.1,963,Groundnut,Low,Medium,High
Karnataka,Bidar,Loam,Kharif,High,Soybean,7,23.0,504,Rice,Medium,High,Medium
Tamil Nadu,Madurai,Clay,Summer,High,Sunflower,3,28.1,136,Banana,High,High,High
Tamil Nadu,Vellore,Loam,Kharif,High,None,2,24.3,440,Rice,Low,High,Medium
Maharashtra,Latur,Sandy,Summer,High,Maize,1,32.4,27,Onion,Medium,High,Medium
Tamil Nadu,Virudhunagar,Clay,Kharif,High,Ragi,2,21.0,149,Rice,Low,High,Medium
Odisha,Boudh,Sandy,Summer,Low,Onion,0,35.2,60,Maize,High,Medium,Medium
Maharashtra,Yavatmal,Sandy,Summer,Medium,Ragi,1,36.1,85,Onion,Medium,High,Medium
Telangana,Mulugu,Black,Rabi,High,Sunflower,4,26.0,80,Jowar,Low,Medium,Low
Maharashtra,Kolhapur,Black,Rabi,Medium,Maize,4,23.0,35,Onion,Medium,High,Low
Odisha,Dhenkanal,Black,Kharif,Low,Sugarcane,3,26.7,779,Cotton,High,Medium,High
Telangana,Siddipet,Red,Kharif,High,None,4,28.2,700,Cotton,High,Medium,High
Andhra Pradesh,YSR Kadapa,Red,Kharif,High,Bajra,2,28.2,406,Rice,Low,High,Medium
Odisha,Keonjhar,Sandy,Kharif,Medium,Sugarcane,1,24.2,404,Cotton,High,Medium,High
Maharashtra,Wardha,Clay,Rabi,High,Groundnut,2,23.4,33,Wheat,Medium,Low,Low
Telangana,Rangareddy,Clay,Kharif,Low,None,5,28.7,571,Cotton,Medium,Medium,High
Tamil Nadu,Madurai,Sandy,Summer,Medium,Groundnut,3,34.0,195,Onion,Medium,High,Medium
Tamil Nadu,Pudukkottai,Black,Kharif,Medium,Rice,1,25.8,277,Cotton,High,Medium,High
Tamil Nadu,Vellore,Loam,Kharif,Medium,Ragi,2,27.9,484,Maize,High,Low,Medium
Andhra Pradesh,West Godavari,Red,Kharif,High,None,4,28.0,930,Rice,Low,High,Medium
Tamil Nadu,Kanyakumari,Loam,Kharif,High,Cotton,1,27.6,576,Rice,Low,High,Medium
Andhra Pradesh,Visakhapatnam,Red,Kharif,High,Cotton,5,28.7,425,Cotton,High,Medium,High
Maharashtra,Yavatmal,Sandy,Kharif,Low,Jowar,1,29.6,1039,Cotton,High,Medium,High
Tamil Nadu,Tiruvarur,Black,Summer,Medium,Sugarcane,6,36.0,162,Onion,Low,High,Medium
Maharashtra,Satara,Clay,Kharif,Medium,Cotton,3,20.7,549,Cotton,High,Medium,High
Karnataka,Davangere,Clay,Kharif,Medium,Cotton,0,25.0,570,Cotton,High,Medium,High
Odisha,Puri,Sandy,Summer,High,Soybean,3,25.7,56,Rice,Low,High,High
Odisha,Khordha,Loam,Rabi,Low,Chilli,1,25.9,160,Ragi,Low,Low,Medium
Tamil Nadu,Pudukkottai,Black,Kharif,Low,Sunflower,5,29.8,567,Cotton,High,Medium,High
Odisha,Koraput,Black,Summer,High,Ragi,4,28.0,60,Onion,Medium,High,Medium
Maharashtra,Wardha,Sandy,Kharif,Medium,Cotton,2,27.5,775,Cotton,High,Low,High
Tamil Nadu,Thoothukudi,Loam,Kharif,Low,Cotton,2,32.4,234,Groundnut,Low,Medium,Medium
Odisha,Bargarh,Clay,Kharif,Low,Rice,2,31.5,1090,Rice,Low,High,Medium
Maharashtra,Nanded,Red,Kharif,Low,None,1,28.2,610,Cotton,High,Medium,High
Telangana,Nizamabad,Clay,Kharif,High,Soybean,1,24.5,936,Rice,Low,High,Medium
Telangana,Sangareddy,Black,Rabi,Medium,Soybean,4,27.6,54,Onion,Medium,High,Low
Telangana,Mancherial,Clay,Summer,Medium,None,8,41.4,69,Onion,Medium,High,Medium
Telangana,Kamareddy,Red,Kharif,Low,Rice,3,28.7,356,Cotton,High,Medium,High
Tamil Nadu,Ramanathapuram,Clay,Kharif,High,Groundnut,2,28.7,396,Rice,Low,High,Medium
Odisha,Sundargarh,Black,Kharif,Low,Groundnut,2,28.4,1593,Cotton,High,Medium,High
Maharashtra,Jalgaon,Clay,Kharif,High,Sunflower,4,28.7,656,Banana,High,High,High
Telangana,Nirmal,Loam,Rabi,Medium,Jowar,1,22.9,60,Wheat,Medium,Medium,Low
Telangana,Siddipet,Loam,Rabi,Medium,None,3,25.0,67,Wheat,Medium,Medium,Low
Tamil Nadu,Namakkal,Black,Rabi,High,Groundnut,0,23.4,267,Wheat,Medium,Medium,Low
Odisha,Balasore,Loam,Kharif,Low,Jowar,2,28.1,1067,Maize,High,Medium,Medium
Maharashtra,Solapur,Sandy,Rabi,High,Groundnut,1,24.6,26,Onion,Medium,High,Medium
Odisha,Dhenkanal,Black,Kharif,High,Maize,1,24.4,815,Rice,Low,Medium,Medium
Telangana,Mahabubnagar,Sandy,Kharif,Medium,Soybean,2,26.3,804,Cotton,High,Medium,Medium
Telangana,Warangal Urban,Clay,Kharif,High,Rice,4,31.2,871,Rice,Low,High,Medium
Karnataka,Davangere,Clay,Rabi,Low,Onion,1,23.5,71,Wheat,High,Medium,Low
Maharashtra,Pune,Loam,Kharif,Low,Chilli,5,23.4,742,Cotton,High,Medium,Medium
Odisha,Sundargarh,Clay,Kharif,High,Cotton,1,25.6,864,Rice,Low,High,High
Maharashtra,Kolhapur,Sandy,Summer,Low,Sugarcane,4,30.4,58,Onion,Low,High,Medium
Telangana,Adilabad,Black,Rabi,Low,Ragi,0,25.0,72,Jowar,Medium,Medium,Low
Andhra Pradesh,Kakinada,Black,Kharif,Medium,None,2,30.8,487,Cotton,High,Medium,High
Karnataka,Bidar,Clay,Rabi,High,Rice,4,22.4,35,Wheat,Medium,Medium,Low
Telangana,Warangal Rural,Sandy,Summer,Medium,Sugarcane,2,32.4,82,Maize,High,Medium,Medium
Karnataka,Tumkur,Loam,Kharif,Medium,Rice,3,25.0,377,Ragi,Low,Medium,Low
Odisha,Ganjam,Red,Rabi,High,Rice,4,22.4,72,Ragi,Low,Medium,Low
Andhra Pradesh,Prakasam,Black,Kharif,High,None,1,31.6,585,Cotton,High,Medium,High
Telangana,Mancherial,Black,Kharif,Medium,Maize,5,27.7,867,Cotton,High,High,High
Andhra Pradesh,Kakinada,Sandy,Kharif,High,Soybean,4,26.3,751,Rice,Low,High,Medium
Karnataka,Shimoga,Red,Rabi,Medium,Soybean,2,18.6,130,Ragi,Low,Medium,Low
Maharashtra,Wardha,Red,Rabi,Medium,Maize,2,17.4,19,Onion,Low,High,Medium
Odisha,Keonjhar,Clay,Kharif,Medium,Ragi,1,24.1,831,Rice,Low,High,High
Telangana,Mahabubnagar,Sandy,Kharif,Medium,None,2,28.8,428,Cotton,High,Medium,High
Tamil Nadu,Ramanathapuram,Loam,Kharif,Low,Groundnut,2,27.9,250,Cotton,High,Medium,Medium
Tamil Nadu,Thanjavur,Clay,Kharif,Low,Groundnut,2,31.5,417,Cotton,High,Medium,High
Telangana,Peddapalli,Red,Rabi,High,Soybean,2,21.5,52,Ragi,Low,Medium,Low
Odisha,Sonepur,Clay,Kharif,Low,Cotton,4,25.3,943,Rice,Low,High,Medium
Odisha,Gajapati,Sandy,Kharif,High,Maize,5,26.0,1423,Rice,Low,High,Medium
Maharashtra,Beed,Sandy,Kharif,Low,Ragi,1,23.5,725,Cotton,High,Medium,High
Telangana,Medchal Malkajgiri,Loam,Kharif,Low,None,1,26.8,614,Cotton,High,Medium,High
Tamil Nadu,Erode,Clay,Kharif,Low,Groundnut,7,27.7,339,Cotton,High,Medium,High
Telangana,Sangareddy,Sandy,Rabi,Medium,Sugarcane,1,23.6,49,Sunflower,Medium,Medium,Medium
Karnataka,Hassan,Loam,Rabi,Low,Ragi,2,16.1,106,Wheat,Medium,Medium,Low
Karnataka,Kolar,Black,Summer,Low,None,4,35.3,79,Maize,High,Medium,Medium
Odisha,Bhadrak,Red,Summer,High,None,4,31.8,85,Onion,High,High,Medium
Karnataka,Mandya,Clay,Kharif,Medium,Jowar,3,24.4,654,Cotton,High,Medium,High
Tamil Nadu,Chennai,Sandy,Kharif,Medium,Sugarcane,0,28.1,413,Groundnut,Low,Medium,Medium
Odisha,Malkangiri,Sandy,Kharif,Low,Banana,1,23.9,966,Groundnut,Low,Medium,Medium
Maharashtra,Yavatmal,Clay,Rabi,Medium,Maize,3,22.6,25,Wheat,Medium,Medium,Low
Tamil Nadu,Coimbatore,Black,Rabi,Low,Groundnut,2,24.9,149,Jowar,Low,Medium,Low
